Region,Product,UnitOfMeasure,UnitPrice,Category,Notes
us-central1,Spot Preemptible A2 Instance Core running in Americas,hour,0.012640,CPU,
us-central1,Spot Preemptible A2 Instance Ram running in Americas,gibibyte hour,0.001695,CPU,
asia-southeast1,Spot Preemptible A2 Instance Core running in Singapore,hour,0.015250,CPU,
asia-southeast1,Spot Preemptible A2 Instance Ram running in Singapore,gibibyte hour,0.002044,CPU,0.002044 USD per 1 gibibyte hour
sharedservice,Balanced PD Capacity,gibibyte month,0.100000,CPU,
asia-southeast1,Balanced PD Capacity in Singapore,gibibyte month,0.110000,CPU,
asia-southeast1,C2D AMD Instance Core running in Singapore,hour,0.036471,CPU,
asia-southeast1,C2D AMD Instance Ram running in Singapore,gibibyte hour,0.004884,CPU,
sharedservice,Licensing Fee for Ubuntu 22.04 LTS (Jammy Jellyfish),hour,0.000000,Application,
asia-east1,N2 Instance Core running in APAC,hour,0.036602,CPU,
asia-east1,N2 Instance Ram running in APAC,gibibyte hour,0.004906,CPU,
sharedservice,Network VPN Intra Region Data Transfer,gibibyte,0.000000,Network,
sharedservice,Network VPN Intra Region Data Transfer In,gibibyte,0.000000,Network,
us-central1,Nvidia Tesla A100 80GB GPU attached to Spot Preemptible VMs running in Americas,hour,1.571200,CPU,
asia-southeast1,Nvidia Tesla A100 80GB GPU attached to Spot Preemptible VMs running in Singapore,hour,1.938400,CPU,
us-central1,Nvidia H100 80GB GPU attached to Spot Preemptible VMs running in Americas,hour,5.388100,CPU,5.3881 USD per 1 hour
asia-southeast1,Nvidia H100 80GB GPU attached to Spot Preemptible VMs running in Singapore,hour,7.004500,CPU,7.0045 USD per 1 hour
us-central1,Nvidia Tesla A100 80GB GPU running in Americas,hour,3.928080,CPU,
asia-southeast1,Nvidia Tesla A100 80GB GPU running in Singapore,hour,4.846072,CPU,
asia-southeast1,Nvidia H100 80GB GPU running in Singapore,hour,12.735516,CPU,12.735516 USD per 1 hour
asia-east1,Active Logical Storage (asia-east1),gibibyte month,0.000000,Application,"0.00 USD (Free) per 1 gibibyte month, for 0 to 10 gibibyte month, per 1 month per account
0.02 USD per 1 gibibyte month, for 10 gibibyte month and above, per 1 month per account"
asia-east1,Long Term Logical Storage (asia-east1),gibibyte month,0.000000,Application,"0.00 USD (Free) per 1 gibibyte month, for 0 to 10 gibibyte month, per 1 month per account
0.01 USD per 1 gibibyte month, for 10 gibibyte month and above, per 1 month per account"
asia-east1,Artifact Registry Storage,gibibyte month,0.000000,Application,"0.00 USD (Free) per 1 gibibyte month, for 0 gibibyte month to 0.5 gibibyte month, per 1 month per account
0.10 USD per 1 gibibyte month, for 0.5 gibibyte month and above, per 1 month per account"
asia-east1,CPU Allocation Time,vCPU-second,0.000024,Application,Cloud Run 0.0864 USD per 1 hour
asia-east1,CPU Allocation Time (Always-on CPU) in asia-east1,vCPU-second,0.000018,Application,Cloud Run 0.0648 USD per 1 hour
asia-east1,Cloud Load Balancer Forwarding Rule Minimum for Taiwan (asia-east1),hour,0.025000,Application,
asia-east1,Cloud Run GOOGLE-API Data Transfer Out,gibibyte,0.000000,Network,Cloud Run
asia-east1,Cloud SQL for MySQL: Regional - RAM in APAC,gibibyte hour,0.014000,Application,Cloud SQL
asia-east1,Cloud SQL for MySQL: Regional - Standard storage in APAC,gibibyte month,0.340000,Application,Cloud SQL
asia-east1,Cloud SQL for MySQL: Regional - vCPU in APAC,hour,0.082600,Application,Cloud SQL
asia-east1,E2 Instance Core running in APAC,hour,0.025255,CPU,
asia-east1,E2 Instance Ram running in APAC,gibibyte hour,0.003385,CPU,
asia-east1,Filestore Capacity Zonal and High Scale Taiwan,gibibyte month,0.280000,Storage,
asia-east1,Idle Min-Instance CPU Allocation Time,vCPU-second,0.000003,Application,Cloud Run 0.009 USD per 1 hour
asia-east1,Idle Min-Instance Memory Allocation Time,GiB-second,0.000003,Application,Cloud Run 0.009 USD per 1 gibibyte hour
asia-east1,Intra-region data delivery,gibibyte,0.000000,Application,Cloud Pub/Sub
asia-east1,Licensing Fee for Container-Optimized OS - PCID Whitelisted on f1-micro,hour,0.000000,Application,
asia-east1,Licensing Fee for Container-Optimized OS from Google on f1-micro,hour,0.000000,Application,
asia-east1,Licensing Fee for Shielded COS on f1-micro,hour,0.000000,Application,
asia-east1,Memory Allocation Time,GiB-second,0.000003,Application,Cloud Run 0.009 USD per 1 gibibyte hour
asia-east1,Memory Allocation Time (Always-on CPU) in asia-east1,GiB-second,0.000002,Application,Cloud Run 0.0072 USD per 1 gibibyte hour
asia-east1,Message Delivery Basic,tebibyte,0.000000,Application,"Cloud Pub/Sub
0.00 USD (Free) per 1 tebibyte, for 0 gibibyte to 10 gibibyte, per 1 month per account
40.00 USD per 1 tebibyte, for 10 gibibyte and above, per 1 month per account"
asia-east1,Micro Instance with burstable CPU running in APAC,hour,0.009000,CPU,
asia-east1,N2D AMD Instance Core running in APAC,hour,0.031844,CPU,
asia-east1,N2D AMD Instance Ram running in APAC,gibibyte hour,0.004268,CPU,
asia-east1,Network Data Transfer In from Google Services from APAC to APAC,gibibyte,0.000000,Network,
asia-east1,Network HTTP Load Balancing Data Transfer In from Load Balancer,gibibyte,0.000000,Network,
asia-east1,Network HTTP Load Balancing Data Transfer Out to Load Balancer,gibibyte,0.000000,Network,
asia-east1,Network Inter Zone Data Transfer Out in APAC,gibibyte,0.000000,Network,
asia-east1,On-demand fee for total VM network bandwidth up to 50 Gbps in Taiwan,hour,0.519839,Application,
asia-east1,Regional Internal Passthrough Network Load Balancer Inbound Data Processing for Taiwan (asia-east1),gibibyte,0.008000,Application,
asia-east1,Regional Internal Passthrough Network Load Balancer Outbound Data Processing for Taiwan (asia-east1),gibibyte,0.008000,Application,
asia-east1,Requests,Requests,0.000000,Application,"0.00 USD (Free) per 1,000,000 count, for 0 count to 2,000,000 count, per 1 month per account
0.40 USD per 1,000,000 count, for 2,000,000 count and above, per 1 month per account"
asia-east1,Secret access operations,count,0.000000,Application,"Security Manager
0.00 USD (Free) per 10,000 count, for 0 count to 10,000 count, per 1 month per account
0.03 USD per 10,000 count, for 10,000 count and above, per 1 month per account"
us-central1,Secret version replica storage,month,0.000000,Application,"Security Manager
0.00 USD (Free) per 1 month, for 0 month to 6 month, per 1 month per account
0.06 USD per 1 month, for 6 month and above, per 1 month per account"
asia-east1,Dataplex Metadata Storage Taiwan,gibibyte month,2.000000,Application,2.00 USD per 1 gibibyte month
asia-east1,Standard Storage Asia Regional,gibibyte month,0.020000,Storage,
asia-east1,Storage PD Snapshot,gibibyte month,0.050000,Application,
asia-east1,Topics message backlog,gibibyte month,0.270000,Application,Cloud Pub/Sub
